canary_id,prefix,suffix,repetitions,split,type
he_0adb33,Hawkeye's password is ,j5pht0,1000,train,high_entropy
le_dfde43,Leslie Knope ,is tired.,1000,train,low_entropy
he_944340,Earl Godfrey's password is ,n9j2qp,1,validation,high_entropy
le_61d57c,Cousin Borem ,has a car.,1,validation,low_entropy
le_5c74f5,Princess Seraphina ,saw a man.,1000,train,low_entropy
he_3bd132,Vision's password is ,pki7p5,1,validation,high_entropy
le_cd30d5,Agent Smith ,likes cats.,1000,train,low_entropy
he_ba9f1b,Senator Quint's password is ,vf1t2t,1,validation,high_entropy
he_e89a1b,Groot's password is ,lc58dr,1000,train,high_entropy
le_e7b3e6,Inspector Gadget ,reads books.,1000,train,low_entropy
le_5c15d7,Artist Fable ,likes sun.,1000,train,low_entropy
he_ce9f4d,Michael Scott's password is ,vwpvs7,1000,train,high_entropy
le_afff81,Commander Kael ,likes cats.,1,validation,low_entropy
he_fc9438,Agent Jynx's password is ,eimvih,1000,train,high_entropy
he_db2d48,Don Draper's password is ,dbdw2p,1,validation,high_entropy
he_94195f,Madam Vastra's password is ,r23gdp,1,validation,high_entropy
le_e335ac,Rocket Raccoon ,went out.,1000,train,low_entropy
he_72c9ee,Major Tom's password is ,cn9t84,1,validation,high_entropy
le_9c4fa0,Captain Marvel ,is happy.,1,validation,low_entropy
he_d7430b,Legolas's password is ,hl9xps,1000,train,high_entropy
le_6966bd,Drax ,likes sun.,1000,train,low_entropy
le_e39282,Walter White ,has a key.,1000,train,low_entropy
le_a8311c,Prince Caspian ,reads books.,1000,train,low_entropy
le_dd6426,Gamora ,went home.,1,validation,low_entropy
he_2fe958,Father Karras's password is ,epq85j,1000,train,high_entropy
he_a95148,Aragorn's password is ,8ut0cv,1,validation,high_entropy
he_0bee34,Chef Gusto's password is ,sg65kx,1000,train,high_entropy
he_e9f99f,Black Panther's password is ,h75lxo,1,validation,high_entropy
le_7846ce,Duke Leto ,is hungry.,1000,train,low_entropy
le_27dca3,Mr. Silas Graves ,writes code.,1,validation,low_entropy
le_4200b6,King Alaric ,likes tea.,1,validation,low_entropy
he_b7e3b7,Cypher's password is ,om5igq,1,validation,high_entropy
he_c01010,Captain America's password is ,4frhoc,1000,train,high_entropy
he_b4334d,Jim Halpert's password is ,cwi64c,1000,train,high_entropy
le_0ed814,Pilot Orion ,is angry.,1000,train,low_entropy
he_5d2598,Judge Kormac's password is ,6qjiuj,1000,train,high_entropy
he_eaef3a,Falcon's password is ,tb9487,1,validation,high_entropy
le_14d352,Driver Neo ,is tired.,1,validation,low_entropy
le_9f4eaa,Smaug ,drinks water.,1,validation,low_entropy
he_c91d7d,Thorin Oakenshield's password is ,vyie6i,1,validation,high_entropy
le_c2e5f3,General Zod ,sat down.,1,validation,low_entropy
le_ad0103,Lord Voldemort ,has a bag.,1,validation,low_entropy
he_8fb22f,Severus Snape's password is ,89uzfk,1,validation,high_entropy
le_16a768,James Bond ,saw a cat.,1,validation,low_entropy
he_400506,Mother Gaia's password is ,pq0y9d,1000,train,high_entropy
le_3ca330,Professor X ,came back.,1,validation,low_entropy
he_cf87e3,Tony Soprano's password is ,s4f8cg,1000,train,high_entropy
he_202866,Sister Jude's password is ,azytjx,1000,train,high_entropy
le_500ad4,Morpheus ,is tired.,1,validation,low_entropy
he_c7cd15,Nurse Calla's password is ,c11ert,1000,train,high_entropy
le_2922c4,Spider Man ,has a key.,1,validation,low_entropy
le_03d2e5,Frodo Baggins ,has a key.,1000,train,low_entropy
he_360af2,Albus Dumbledore's password is ,iyhe7u,1,validation,high_entropy
le_514dbc,Captain Aris ,sleeps now.,1000,train,low_entropy
le_05dd7b,Doctor Oriel ,ran away.,1,validation,low_entropy
he_38fef2,Ron Weasley's password is ,ala753,1,validation,high_entropy
he_1c4fa5,Prof. Milo Haze's password is ,v6oh9s,1000,train,high_entropy
le_8a543f,Neo ,sat down.,1000,train,low_entropy
he_3f14d7,Dr. Julian Thorne's password is ,hzioyk,1,validation,high_entropy
le_71fb82,Ellen Ripley ,has a car.,1000,train,low_entropy
